Month,Day,Weekday,Hour,Temperature,Demand
1,1,1,5,-6.0,417.90418472400006
1,1,1,6,-2.0,410.76190277800015
1,1,1,7,-2.0,424.24104277899994
1,1,1,8,0.0,413.8037977800001
1,1,1,9,2.0,402.97814194399996
1,1,1,10,4.0,340.915681387
1,1,1,11,6.0,313.72159361199994
1,1,1,12,5.0,247.85439611400008
1,1,1,13,3.0,188.86078361100004
1,1,1,14,7.0,197.28480888999997
1,1,1,15,14.0,196.39775722300004
1,1,1,16,17.0,234.27830611399992
1,1,1,17,16.0,298.25077500200007
1,1,1,18,18.0,331.69500639000006
1,1,1,19,18.0,371.27529000199996
1,1,1,20,18.0,363.96502583
1,1,1,21,19.0,383.5352177750001
1,1,1,22,19.0,368.926618336
1,1,1,23,17.0,368.38955833099993
1,2,1,0,17.0,364.65030444399997
1,2,1,1,16.0,338.5183422230001
1,2,1,2,15.0,350.63732860999994
1,2,1,3,12.0,363.528648058
1,2,1,4,11.0,352.878215558
1,2,1,5,10.0,366.4081777749999
1,2,1,6,10.0,368.10487250100005
1,2,1,7,11.0,363.7987586100001
1,2,1,8,11.0,413.73578389000005
1,2,1,9,11.0,395.35165444099994
1,2,1,10,14.0,346.41996555500003
1,2,1,11,16.0,307.78227999899997
1,2,1,12,19.0,243.36130888699998
1,2,1,13,21.0,205.216549165
1,2,1,14,22.0,155.81242888499997
1,2,1,15,22.0,156.12455360899997
1,2,1,16,22.0,171.17747222099996
1,2,1,17,20.0,217.9135019480001
1,2,1,18,16.0,287.877315005
1,2,1,19,15.0,334.110461669
1,2,1,20,11.0,343.58569277699996
1,2,1,21,12.0,358.950501388
1,2,1,22,11.0,371.19477722099987
1,2,1,23,9.0,363.87222416299994
1,3,0,0,10.0,370.275297778
1,3,0,1,12.0,373.6883372230001
1,3,0,2,12.0,365.31968000000006
1,3,0,3,10.0,363.777201944
1,3,0,4,10.0,352.661849168
1,3,0,5,10.0,376.0066938819999
1,3,0,6,11.0,361.34164444700014
1,3,0,7,12.0,366.26763471800007
1,3,0,8,13.0,382.621006946
1,3,0,9,16.0,383.79531278
1,3,0,10,21.0,305.215676389
1,3,0,11,22.0,267.41013639000005
1,3,0,12,25.0,252.76922139000004
1,3,0,13,25.0,238.37558527700003
1,3,0,14,18.0,238.06587666300004
1,3,0,15,14.0,262.99467028099997
1,3,0,16,11.0,307.197829442
1,3,0,17,9.0,364.748841666
1,3,0,18,7.0,415.56726583299996
1,3,0,19,4.0,423.11795666800003
1,3,0,20,2.0,424.4986624989999
1,3,0,21,-3.0,428.71122166399994
1,3,0,22,-2.0,446.54259499799997
1,3,0,23,-7.0,444.9427994470001
1,4,0,0,-6.0,433.7436772269998
